USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  24128 14816 ?        Ss   01:44   0:03 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    01:44   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    01:44   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/0:0H-kblockd]
root          13  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    01:44   0:01 [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    01:44   0:43 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    01:44   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          17  0.0  0.0      0     0 ?        S    01:44   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    01:44   0:09 [migration/0]
root          19  0.0  0.0      0     0 ?        S    01:44   0:00 [kprobe-optimizer]
root          20  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/2]
root          23  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/2]
root          24  0.0  0.0      0     0 ?        S    01:44   0:03 [migration/2]
root          25  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/2]
root          27  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/2:0H-kblockd]
root          28  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/4]
root          29  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/4]
root          30  0.0  0.0      0     0 ?        S    01:44   0:06 [migration/4]
root          31  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/4]
root          33  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/4:0H-kblockd]
root          34  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/6]
root          35  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/6]
root          36  0.0  0.0      0     0 ?        S    01:44   0:03 [migration/6]
root          37  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/6]
root          39  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/6:0H-kblockd]
root          40  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/8]
root          41  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/8]
root          42  0.0  0.0      0     0 ?        S    01:44   0:04 [migration/8]
root          43  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/8]
root          45  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/8:0H-kblockd]
root          46  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/10]
root          47  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/10]
root          48  0.0  0.0      0     0 ?        S    01:44   0:01 [migration/10]
root          49  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/10]
root          51  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/10:0H-kblockd]
root          52  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/12]
root          53  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/12]
root          54  0.0  0.0      0     0 ?        S    01:44   0:02 [migration/12]
root          55  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/12]
root          57  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/12:0H-kblockd]
root          58  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/14]
